time_s,joint,position,velocity,effort
1762773410.4724026,joint_a1,0.71,0.0,0.0
1762773410.4724026,joint_a2,1.54,0.0,0.0
1762773410.4724026,joint_a3,0.92,0.0,0.0
1762773410.4724026,joint_a4,1.39,0.0,0.0
1762773410.4724026,joint_a5,2.5,0.0,0.0
1762773410.4724026,joint_a6,1.74,0.0,0.0
1762773410.4724026,joint_a7,-1.2,0.0,0.0
1762773410.4771545,joint_a1,0.71,0.0,0.0
1762773410.4771545,joint_a2,1.54,0.0,0.0
1762773410.4771545,joint_a3,0.92,0.0,0.0
1762773410.4771545,joint_a4,1.39,0.0,0.0
1762773410.4771545,joint_a5,2.5,0.0,0.0
1762773410.4771545,joint_a6,1.74,0.0,0.0
1762773410.4771545,joint_a7,-1.2,0.0,0.0
1762773410.48153,joint_a1,0.71,0.0,0.0
1762773410.48153,joint_a2,1.54,0.0,0.0
1762773410.48153,joint_a3,0.92,0.0,0.0
1762773410.48153,joint_a4,1.39,0.0,0.0
1762773410.48153,joint_a5,2.5,0.0,0.0
1762773410.48153,joint_a6,1.74,0.0,0.0
1762773410.48153,joint_a7,-1.2,0.0,0.0
1762773410.4866343,joint_a1,0.71,0.0,0.0
1762773410.4866343,joint_a2,1.54,0.0,0.0
1762773410.4866343,joint_a3,0.92,0.0,0.0
1762773410.4866343,joint_a4,1.39,0.0,0.0
1762773410.4866343,joint_a5,2.5,0.0,0.0
1762773410.4866343,joint_a6,1.74,0.0,0.0
1762773410.4866343,joint_a7,-1.2,0.0,0.0
1762773410.4911356,joint_a1,0.71,0.0,0.0
1762773410.4911356,joint_a2,1.54,0.0,0.0
1762773410.4911356,joint_a3,0.92,0.0,0.0
1762773410.4911356,joint_a4,1.39,0.0,0.0
1762773410.4911356,joint_a5,2.5,0.0,0.0
1762773410.4911356,joint_a6,1.74,0.0,0.0
1762773410.4911356,joint_a7,-1.2,0.0,0.0
1762773410.4949367,joint_a1,0.71,0.0,0.0
1762773410.4949367,joint_a2,1.54,0.0,0.0
1762773410.4949367,joint_a3,0.92,0.0,0.0
1762773410.4949367,joint_a4,1.39,0.0,0.0
1762773410.4949367,joint_a5,2.5,0.0,0.0
1762773410.4949367,joint_a6,1.74,0.0,0.0
1762773410.4949367,joint_a7,-1.2,0.0,0.0
1762773410.4991748,joint_a1,0.71,0.0,0.0
1762773410.4991748,joint_a2,1.54,0.0,0.0
1762773410.4991748,joint_a3,0.92,0.0,0.0
1762773410.4991748,joint_a4,1.39,0.0,0.0
1762773410.4991748,joint_a5,2.5,0.0,0.0
1762773410.4991748,joint_a6,1.74,0.0,0.0
1762773410.4991748,joint_a7,-1.2,0.0,0.0
1762773410.5036433,joint_a1,0.71,0.0,0.0
1762773410.5036433,joint_a2,1.54,0.0,0.0
1762773410.5036433,joint_a3,0.92,0.0,0.0
1762773410.5036433,joint_a4,1.39,0.0,0.0
1762773410.5036433,joint_a5,2.5,0.0,0.0
1762773410.5036433,joint_a6,1.74,0.0,0.0
1762773410.5036433,joint_a7,-1.2,0.0,0.0
1762773410.508517,joint_a1,0.71,0.0,0.0
1762773410.508517,joint_a2,1.54,0.0,0.0
1762773410.508517,joint_a3,0.92,0.0,0.0
1762773410.508517,joint_a4,1.39,0.0,0.0
1762773410.508517,joint_a5,2.5,0.0,0.0
1762773410.508517,joint_a6,1.74,0.0,0.0
1762773410.508517,joint_a7,-1.2,0.0,0.0
1762773410.5124068,joint_a1,0.71,0.0,0.0
1762773410.5124068,joint_a2,1.54,0.0,0.0
1762773410.5124068,joint_a3,0.92,0.0,0.0
1762773410.5124068,joint_a4,1.39,0.0,0.0
1762773410.5124068,joint_a5,2.5,0.0,0.0
1762773410.5124068,joint_a6,1.74,0.0,0.0
1762773410.5124068,joint_a7,-1.2,0.0,0.0
1762773410.5171785,joint_a1,0.71,0.0,0.0
1762773410.5171785,joint_a2,1.54,0.0,0.0
1762773410.5171785,joint_a3,0.92,0.0,0.0
1762773410.5171785,joint_a4,1.39,0.0,0.0
1762773410.5171785,joint_a5,2.5,0.0,0.0
1762773410.5171785,joint_a6,1.74,0.0,0.0
1762773410.5171785,joint_a7,-1.2,0.0,0.0
1762773410.5223107,joint_a1,0.71,0.0,0.0
1762773410.5223107,joint_a2,1.54,0.0,0.0
1762773410.5223107,joint_a3,0.92,0.0,0.0
1762773410.5223107,joint_a4,1.39,0.0,0.0
1762773410.5223107,joint_a5,2.5,0.0,0.0
1762773410.5223107,joint_a6,1.74,0.0,0.0
1762773410.5223107,joint_a7,-1.2,0.0,0.0
1762773410.5266027,joint_a1,0.71,0.0,0.0
1762773410.5266027,joint_a2,1.54,0.0,0.0
1762773410.5266027,joint_a3,0.92,0.0,0.0
1762773410.5266027,joint_a4,1.39,0.0,0.0
1762773410.5266027,joint_a5,2.5,0.0,0.0
1762773410.5266027,joint_a6,1.74,0.0,0.0
1762773410.5266027,joint_a7,-1.2,0.0,0.0
1762773410.5311952,joint_a1,0.71,0.0,0.0
1762773410.5311952,joint_a2,1.54,0.0,0.0
