time_s,joint,command
1762773232.389371,joint_a1,0.16981925584513713
1762773232.389371,joint_a2,0.4938912909468698
1762773232.389371,joint_a3,0.2329240669296322
1762773232.389371,joint_a4,0.47850361529406377
1762773232.389371,joint_a5,0.2862853727553978
1762773232.389371,joint_a6,0.1359739249767688
1762773232.389371,joint_a7,0.2596676272496576
1762773232.4889562,joint_a1,0.1698721296919264
1762773232.4889562,joint_a2,0.4881585228612773
1762773232.4889562,joint_a3,0.2304694498608991
1762773232.4889562,joint_a4,0.5061416024457087
1762773232.4889562,joint_a5,0.2849415375594177
1762773232.4889562,joint_a6,0.10914483420361824
1762773232.4889562,joint_a7,0.27589851188791037
1762773232.5896585,joint_a1,0.11409113398662371
1762773232.5896585,joint_a2,0.3439481312155505
1762773232.5896585,joint_a3,0.17788465457780445
1762773232.5896585,joint_a4,0.37050657668924003
1762773232.5896585,joint_a5,0.22410663212859921
1762773232.5896585,joint_a6,0.05486361826417607
1762773232.5896585,joint_a7,0.2131801229718066
1762773232.6888924,joint_a1,0.054123276574765476
1762773232.6888924,joint_a2,0.19208789437643256
1762773232.6888924,joint_a3,0.11509853723119359
1762773232.6888924,joint_a4,0.2390648976266297
1762773232.6888924,joint_a5,0.15003944279075815
1762773232.6888924,joint_a6,-0.007058365810837009
1762773232.6888924,joint_a7,0.15059232460271513
1762773232.7893298,joint_a1,0.009185869213629258
1762773232.7893298,joint_a2,0.07169192259791075
1762773232.7893298,joint_a3,0.05717911002129393
1762773232.7893298,joint_a4,0.16233694856875197
1762773232.7893298,joint_a5,0.08132363422170219
1762773232.7893298,joint_a6,-0.07294135641868767
1762773232.7893298,joint_a7,0.11086404412960192
1762773232.8888211,joint_a1,-0.012541671774044262
1762773232.8888211,joint_a2,0.004020887639125263
1762773232.8888211,joint_a3,0.019541693889739625
1762773232.8888211,joint_a4,0.13053460884795248
1762773232.8888211,joint_a5,0.0357105698768068
1762773232.8888211,joint_a6,-0.11571534104068017
1762773232.8888211,joint_a7,0.08925875415487537
1762773232.9893928,joint_a1,-0.020743236670131587
1762773232.9893928,joint_a2,-0.031497622034343566
1762773232.9893928,joint_a3,-0.003179656765164816
1762773232.9893928,joint_a4,0.1206137777349305
1762773232.9893928,joint_a5,0.0073303509063440235
1762773232.9893928,joint_a6,-0.1416264218419139
1762773232.9893928,joint_a7,0.0772606000558464
1762773233.0892417,joint_a1,-0.02133131659273908
1762773233.0892417,joint_a2,-0.04409842886032365
1762773233.0892417,joint_a3,-0.01311844752225506
1762773233.0892417,joint_a4,0.12355722812380969
1762773233.0892417,joint_a5,-0.0055916428311173555
1762773233.0892417,joint_a6,-0.15496604581313791
1762773233.0892417,joint_a7,0.07351672794278942
1762773233.1890843,joint_a1,-0.019639313526013797
1762773233.1890843,joint_a2,-0.04614268949204843
1762773233.1890843,joint_a3,-0.016587950188739462
1762773233.1890843,joint_a4,0.12653717384750368
1762773233.1890843,joint_a5,-0.010826995796918487
1762773233.1890843,joint_a6,-0.1582769348014867
1762773233.1890843,joint_a7,0.07175828771929296
1762773233.288862,joint_a1,-0.018656610240777083
1762773233.288862,joint_a2,-0.04456144509567823
1762773233.288862,joint_a3,-0.016940422210999444
1762773233.288862,joint_a4,0.1308190726197226
1762773233.288862,joint_a5,-0.01194907592307643
1762773233.288862,joint_a6,-0.15991723358778132
1762773233.288862,joint_a7,0.07302871742019407
1762773233.3895526,joint_a1,-0.018574027927240305
1762773233.3895526,joint_a2,-0.041956548861319436
1762773233.3895526,joint_a3,-0.016246295308102298
1762773233.3895526,joint_a4,0.1309940258995015
1762773233.3895526,joint_a5,-0.011910026707903993
1762773233.3895526,joint_a6,-0.15760753590832835
1762773233.3895526,joint_a7,0.0733864952544105
1762773233.4898815,joint_a1,-0.019819812695546838
1762773233.4898815,joint_a2,-0.040622892597000936
1762773233.4898815,joint_a3,-0.01580099692102073
1762773233.4898815,joint_a4,0.13079372176170123
1762773233.4898815,joint_a5,-0.011976880680728497
1762773233.4898815,joint_a6,-0.15666596440525807
1762773233.4898815,joint_a7,0.07439621257216103
1762773233.5893335,joint_a1,-0.02170046111307524
1762773233.5893335,joint_a2,-0.03996027520629021
1762773233.5893335,joint_a3,-0.015606056679583617
1762773233.5893335,joint_a4,0.12798663541109015
1762773233.5893335,joint_a5,-0.012380830772157285
1762773233.5893335,joint_a6,-0.1543903379951321
1762773233.5893335,joint_a7,0.07436156950935925
1762773233.6890635,joint_a1,-0.024159060024801168
1762773233.6890635,joint_a2,-0.040512184407829305
1762773233.6890635,joint_a3,-0.01597289882082134
1762773233.6890635,joint_a4,0.12587562517292197
1762773233.6890635,joint_a5,-0.013309757309419768
1762773233.6890635,joint_a6,-0.15403038613436454
1762773233.6890635,joint_a7,0.07482866726919142
1762773233.789757,joint_a1,-0.02669804417228004
1762773233.789757,joint_a2,-0.04134580877892925
1762773233.789757,joint_a3,-0.01652291849421888
1762773233.789757,joint_a4,0.1224771747060866
1762773233.789757,joint_a5,-0.01447294456907442
1762773233.789757,joint_a6,-0.15288994649383625
1762773233.789757,joint_a7,0.07459364419130443
1762773233.8916206,joint_a1,-0.02942667358333712
1762773233.8916206,joint_a2,-0.04278490028787659
1762773233.8916206,joint_a3,-0.017373088661388418
1762773233.8916206,joint_a4,0.12029416942143709
1762773233.8916206,joint_a5,-0.015887249536652714
1762773233.8916206,joint_a6,-0.15341889133899494
1762773233.8916206,joint_a7,0.07499702295285383
1762773233.9893327,joint_a1,-0.03195405529690017
1762773233.9893327,joint_a2,-0.04400869790205207
1762773233.9893327,joint_a3,-0.018155037053402413
1762773233.9893327,joint_a4,0.11687072571791039
1762773233.9893327,joint_a5,-0.017262676638453177
1762773233.9893327,joint_a6,-0.1526577494065895
1762773233.9893327,joint_a7,0.07465377312964895
1762773234.089041,joint_a1,-0.03469201979488858
1762773234.089041,joint_a2,-0.04566782889172598
1762773234.089041,joint_a3,-0.01911621723209333
1762773234.089041,joint_a4,0.11487932355262777
1762773234.089041,joint_a5,-0.018764372713320477
1762773234.089041,joint_a6,-0.1536109447861506
1762773234.089041,joint_a7,0.0751348903731242
1762773234.188926,joint_a1,-0.03705562009121623
1762773234.188926,joint_a2,-0.04680026860996174
1762773234.188926,joint_a3,-0.019839859036030024
1762773234.188926,joint_a4,0.11125602382103332
1762773234.188926,joint_a5,-0.02005228493920964
1762773234.188926,joint_a6,-0.15259340276730196
1762773234.188926,joint_a7,0.07462263026475167
1762773234.2887852,joint_a1,-0.03972675063751311
1762773234.2887852,joint_a2,-0.04841989637168406
1762773234.2887852,joint_a3,-0.0207458266208986
